KLASA SAMAR,SILNIK,0,1,2,3,4,5,6,7
Podstawowa - D ŚREDNIA,Elektryczny (BEV),"0,47","0,4","0,33","0,27","0,23","0,18","0,16","0,15"
Podstawowa - D ŚREDNIA,Wodór (FCEV),"0,47","0,4","0,33","0,27","0,23","0,18","0,16","0,15"
Podstawowa - D ŚREDNIA,LPG,"0,47","0,4","0,33","0,27","0,23","0,18","0,16","0,15"
Podstawowa - E WYŻSZA,Benzyna (PB),"0,44","0,37","0,31","0,26","0,19","0,15","0,11","0,08"
Podstawowa - E WYŻSZA,Diesel (ON),"0,43","0,37","0,3","0,25","0,19","0,15","0,12","0,09"
Podstawowa - E WYŻSZA,Benzyna mHEV (PB-mHEV),"0,44","0,37","0,31","0,26","0,19","0,15","0,11","0,08"
Podstawowa - E WYŻSZA,Diesel mHEV (ON-mHEV),"0,43","0,37","0,3","0,25","0,19","0,15","0,12","0,09"
Podstawowa - E WYŻSZA,Hybryda (HEV),"0,44","0,37","0,31","0,26","0,19","0,15","0,11","0,08"
Podstawowa - E WYŻSZA,Plug-in Hybrid (PHEV),"0,44","0,37","0,31","0,26","0,19","0,15","0,11","0,08"
Podstawowa - E WYŻSZA,Elektryczny (BEV),"0,44","0,37","0,31","0,26","0,19","0,15","0,11","0,08"
Podstawowa - E WYŻSZA,Wodór (FCEV),"0,44","0,37","0,31","0,26","0,19","0,15","0,11","0,08"
Podstawowa - E WYŻSZA,LPG,"0,44","0,37","0,31","0,26","0,19","0,15","0,11","0,08"
Podstawowa - F LUKSUSOWE,Benzyna (PB),"0,42","0,35","0,29","0,24","0,17","0,13","0,09","0,06"
Podstawowa - F LUKSUSOWE,Diesel (ON),"0,41","0,35","0,28","0,23","0,17","0,13","0,1","0,07"
Podstawowa - F LUKSUSOWE,Benzyna mHEV (PB-mHEV),"0,42","0,35","0,29","0,24","0,17","0,13","0,09","0,06"
Podstawowa - F LUKSUSOWE,Diesel mHEV (ON-mHEV),"0,41","0,35","0,28","0,23","0,17","0,13","0,1","0,07"
Podstawowa - F LUKSUSOWE,Hybryda (HEV),"0,42","0,35","0,29","0,24","0,17","0,13","0,09","0,06"
