"Pick-up - PICK-UP","LPG","0,050","0,000","0,000","0,000","0,000","0,000","0,000","0,000"
"Podstawowa - A MINI","Benzyna (PB)","0,050","0,120","0,120","0,120","0,000","0,100","0,100","0,110"
"Podstawowa - A MINI","Diesel (ON)","0,050","0,120","0,120","0,120","0,000","0,100","0,100","0,110"
"Podstawowa - A MINI","Benzyna mHEV (PB-mHEV)","0,050","0,120","0,120","0,120","0,000","0,100","0,100","0,110"
"Podstawowa - A MINI","Diesel mHEV (ON-mHEV)","0,050","0,120","0,120","0,120","0,000","0,100","0,100","0,110"
"Podstawowa - A MINI","Hybryda (HEV)","0,050","0,120","0,120","0,120","0,000","0,100","0,100","0,110"
"Podstawowa - A MINI","Plug-in Hybrid (PHEV)","0,050","0,120","0,120","0,120","0,000","0,100","0,100","0,110"
"Podstawowa - A MINI","Elektryczny (BEV)","0,050","0,120","0,120","0,120","0,000","0,100","0,100","0,110"
"Podstawowa - A MINI","Wodór (FCEV)","0,050","0,120","0,120","0,120","0,000","0,100","0,100","0,110"
"Podstawowa - A MINI","LPG","0,050","0,120","0,120","0,120","0,000","0,100","0,100","0,110"
"Podstawowa - B MAŁE","Benzyna (PB)","0,050","0,100","0,100","0,100","0,000","0,090","0,100","0,120"
"Podstawowa - B MAŁE","Diesel (ON)","0,050","0,140","0,140","0,140","0,000","0,100","0,080","0,100"
"Podstawowa - B MAŁE","Benzyna mHEV (PB-mHEV)","0,050","0,100","0,100","0,100","0,000","0,090","0,100","0,120"
"Podstawowa - B MAŁE","Diesel mHEV (ON-mHEV)","0,050","0,140","0,140","0,140","0,000","0,100","0,080","0,100"
"Podstawowa - B MAŁE","Hybryda (HEV)","0,050","0,100","0,100","0,100","0,000","0,090","0,100","0,120"
"Podstawowa - B MAŁE","Plug-in Hybrid (PHEV)","0,050","0,100","0,100","0,100","0,000","0,090","0,100","0,120"
"Podstawowa - B MAŁE","Elektryczny (BEV)","0,050","0,100","0,100","0,100","0,000","0,090","0,100","0,120"
"Podstawowa - B MAŁE","Wodór (FCEV)","0,050","0,100","0,100","0,100","0,000","0,090","0,100","0,120"
"Podstawowa - B MAŁE","LPG","0,050","0,100","0,100","0,100","0,000","0,090","0,100","0,120"
"Podstawowa - C NIŻSZA ŚREDNIA","Benzyna (PB)","0,050","0,120","0,120","0,120","0,000","0,070","0,070","0,070"
"Podstawowa - C NIŻSZA ŚREDNIA","Diesel (ON)","0,050","0,100","0,100","0,100","0,000","0,070","0,070","0,070"
"Podstawowa - C NIŻSZA ŚREDNIA","Benzyna mHEV (PB-mHEV)","0,050","0,120","0,120","0,120","0,000","0,070","0,070","0,070"
"Podstawowa - C NIŻSZA ŚREDNIA","Diesel mHEV (ON-mHEV)","0,050","0,100","0,100","0,100","0,000","0,070","0,070","0,070"
"Podstawowa - C NIŻSZA ŚREDNIA","Hybryda (HEV)","0,050","0,120","0,120","0,120","0,000","0,070","0,070","0,070"
"Podstawowa - C NIŻSZA ŚREDNIA","Plug-in Hybrid (PHEV)","0,050","0,120","0,120","0,120","0,000","0,070","0,070","0,070"
"Podstawowa - C NIŻSZA ŚREDNIA","Elektryczny (BEV)","0,050","0,120","0,120","0,120","0,000","0,070","0,070","0,070"
"Podstawowa - C NIŻSZA ŚREDNIA","Wodór (FCEV)","0,050","0,120","0,120","0,120","0,000","0,070","0,070","0,070"
"Podstawowa - C NIŻSZA ŚREDNIA","LPG","0,050","0,120","0,120","0,120","0,000","0,070","0,070","0,070"
"Podstawowa - D ŚREDNIA","Benzyna (PB)","0,050","0,100","0,100","0,100","0,000","0,120","0,070","0,070"
"Podstawowa - D ŚREDNIA","Diesel (ON)","0,050","0,100","0,100","0,100","0,000","0,070","0,070","0,070"
"Podstawowa - D ŚREDNIA","Benzyna mHEV (PB-mHEV)","0,050","0,100","0,100","0,100","0,000","0,070","0,070","0,070"
"Podstawowa - D ŚREDNIA","Diesel mHEV (ON-mHEV)","0,050","0,100","0,100","0,100","0,000","0,070","0,070","0,070"
"Podstawowa - D ŚREDNIA","Hybryda (HEV)","0,050","0,100","0,100","0,100","0,000","0,070","0,070","0,070"
"Podstawowa - D ŚREDNIA","Plug-in Hybrid (PHEV)","0,050","0,100","0,100","0,100","0,000","0,070","0,070","0,070"
"Podstawowa - D ŚREDNIA","Elektryczny (BEV)","0,050","0,100","0,100","0,100","0,000","0,070","0,070","0,070"
"Podstawowa - D ŚREDNIA","Wodór (FCEV)","0,050","0,100","0,100","0,100","0,000","0,120","0,070","0,070"
"Podstawowa - D ŚREDNIA","LPG","0,050","0,100","0,100","0,100","0,000","0,120","0,070","0,070"
"Podstawowa - E WYŻSZA","Benzyna (PB)","0,050","0,120","0,120","0,120","0,000","0,070","0,080","0,090"
"Podstawowa - E WYŻSZA","Diesel (ON)","0,050","0,120","0,120","0,120","0,000","0,070","0,080","0,090"
"Podstawowa - E WYŻSZA","Benzyna mHEV (PB-mHEV)","0,050","0,120","0,120","0,120","0,000","0,070","0,080","0,090"
"Podstawowa - E WYŻSZA","Diesel mHEV (ON-mHEV)","0,050","0,120","0,120","0,120","0,000","0,070","0,080","0,090"
"Podstawowa - E WYŻSZA","Hybryda (HEV)","0,050","0,120","0,120","0,120","0,000","0,070","0,080","0,090"
"Podstawowa - E WYŻSZA","Plug-in Hybrid (PHEV)","0,050","0,120","0,120","0,120","0,000","0,070","0,080","0,090"
"Podstawowa - E WYŻSZA","Elektryczny (BEV)","0,050","0,120","0,120","0,120","0,000","0,070","0,080","0,090"
"Podstawowa - E WYŻSZA","Wodór (FCEV)","0,050","0,120","0,120","0,120","0,000","0,070","0,080","0,090"
"Podstawowa - E WYŻSZA","LPG","0,050","0,120","0,120","0,120","0,000","0,070","0,080","0,090"
"Podstawowa - F LUKSUSOWE","Benzyna (PB)","0,050","0,110","0,120","0,120","0,000","0,060","0,080","0,080"
